name,full_name,description,html_url,stars,forks,watchers,open_issues,language,topics,size_kb,license_name,created_at,updated_at,pushed_at,is_fork,archived
coreutils,microsoft/coreutils,Coreutils for Windows: Installer & Packaging,https://github.com/microsoft/coreutils,3507,53,3507,56,Rust,"command-line-tool,coreutils,gnu-coreutils",87,MIT,2026-05-15T05:42:32Z,2026-06-08T04:42:39Z,2026-06-05T18:17:40Z,False,False
intelligent-terminal,microsoft/intelligent-terminal,"A fork of Windows Terminal with native agent integration, right in your command line.",https://github.com/microsoft/intelligent-terminal,718,38,718,41,C++,"acp,agent,agent-client-protocol,agentic-ai,ai,cli,command-line,console,copilot,terminal,windows,windows-terminal",151370,MIT,2026-05-18T10:57:07Z,2026-06-08T04:42:38Z,2026-06-08T03:50:20Z,False,False
markitdown,microsoft/markitdown,Python tool for converting files and office documents to Markdown.,https://github.com/microsoft/markitdown,147563,10115,147563,818,Python,"autogen,autogen-extension,langchain,markdown,microsoft-office,openai,pdf",4285,MIT,2024-11-13T19:56:40Z,2026-06-08T04:42:36Z,2026-05-26T22:41:34Z,False,False
AI-For-Beginners,microsoft/AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!",https://github.com/microsoft/AI-For-Beginners,48005,9934,48005,7,Jupyter Notebook,"ai,artificial-intelligence,cnn,computer-vision,deep-learning,gan,machine-learning,microsoft-for-beginners,nlp,rnn",1416835,MIT,2021-03-03T16:27:36Z,2026-06-08T04:41:59Z,2026-05-09T00:28:43Z,False,False
playwright,microsoft/playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",https://github.com/microsoft/playwright,90477,5878,90477,184,TypeScript,"automation,chrome,chromium,e2e-testing,electron,end-to-end-testing,firefox,javascript,playwright,test,test-automation,testing,testing-tools,web,webkit",235715,Apache-2.0,2019-11-15T18:32:42Z,2026-06-08T04:41:29Z,2026-06-07T17:28:46Z,False,False
VibeVoice,microsoft/VibeVoice,Open-Source Frontier Voice AI,https://github.com/microsoft/VibeVoice,48677,5414,48677,161,Python,,215599,MIT,2025-08-25T13:24:01Z,2026-06-08T04:41:00Z,2026-05-06T06:49:25Z,False,False
aspire,microsoft/aspire,"Aspire is the tool for code-first, extensible, observable dev and deploy.",https://github.com/microsoft/aspire,6039,894,6039,2071,C#,"cloud,dotnet,hacktoberfest,python,typescript",114482,MIT,2023-09-25T23:49:49Z,2026-06-08T04:38:08Z,2026-06-08T04:39:50Z,False,False
SkillOpt,microsoft/SkillOpt,"SkillOpt is a text-space optimizer that trains reusable natural-language skills for frozen LLM agents through trajectory-driven edits, validation-gated updates, and deployable best_skill.md artifacts.",https://github.com/microsoft/SkillOpt,5358,534,5358,4,Python,"agent-skills,self-evolving-agents",22419,MIT,2026-05-08T06:41:01Z,2026-06-08T04:37:25Z,2026-06-07T17:42:50Z,False,False
RustTraining,microsoft/RustTraining,"Beginner, advanced, expert level Rust training material",https://github.com/microsoft/RustTraining,14534,1129,14534,1,Rust,,1723,MIT,2026-03-13T04:25:17Z,2026-06-08T04:36:07Z,2026-05-25T16:41:46Z,False,False
XBOX-Godot-Sample,microsoft/XBOX-Godot-Sample,"An example implementation binding the GDK, PlayFab, and GameInput to Godot",https://github.com/microsoft/XBOX-Godot-Sample,130,7,130,2,C++,,3474,MIT,2026-05-28T16:27:10Z,2026-06-08T04:36:06Z,2026-06-04T20:10:27Z,False,False
azurelinux,microsoft/azurelinux,General purpose Linux OS for Azure,https://github.com/microsoft/azurelinux,4968,650,4968,221,Python,,448709,MIT,2020-07-22T19:27:14Z,2026-06-08T04:36:03Z,2026-06-08T03:46:29Z,False,False
Analytics-Hub,microsoft/Analytics-Hub,"A central hub for analytics resources, linking to repositories, guides, and templates leveraging MAC, Purview, and Viva Insights.",https://github.com/microsoft/Analytics-Hub,11,2,11,1,Python,,709,MIT,2026-03-04T21:28:18Z,2026-06-08T04:35:48Z,2026-06-08T04:35:45Z,False,False
WindowsDeveloperConfig,microsoft/WindowsDeveloperConfig,Automate the setup and configuration of your Windows development environment.,https://github.com/microsoft/WindowsDeveloperConfig,546,46,546,15,PowerShell,,593,MIT,2026-05-21T15:13:35Z,2026-06-08T04:35:38Z,2026-06-06T01:23:43Z,False,False
agent-framework,microsoft/agent-framework,"A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.",https://github.com/microsoft/agent-framework,11116,1858,11116,673,Python,"agent-framework,agentic-ai,agents,ai,dotnet,multi-agent,orchestration,python,sdk,workflows",111453,MIT,2025-04-28T19:40:42Z,2026-06-08T04:34:04Z,2026-06-08T03:48:01Z,False,False
vscode,microsoft/vscode,Visual Studio Code,https://github.com/microsoft/vscode,186063,40381,186063,18377,TypeScript,"editor,electron,microsoft,typescript,visual-studio-code",1276273,MIT,2015-09-03T20:23:38Z,2026-06-08T04:34:03Z,2026-06-08T04:32:16Z,False,False
terminal,microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",https://github.com/microsoft/terminal,103501,9329,103501,1763,C++,"cmd,command-line,console,contributions-welcome,good-first-issue,hacktoberfest,terminal,windows,windows-console,windows-terminal,wsl",169335,MIT,2017-08-11T18:38:22Z,2026-06-08T04:32:53Z,2026-06-06T03:04:54Z,False,False
PowerToys,microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,https://github.com/microsoft/PowerToys,133898,8037,133898,7066,C#,"advanced-paste,color-picker,command-palette,desktop,fancyzones,keyboard-manager,microsoft-powertoys,powerrename,powertoys,windows,windows-10,windows-11",495146,MIT,2019-05-01T17:44:02Z,2026-06-08T04:32:42Z,2026-06-06T22:36:02Z,False,False
playwright-cli,microsoft/playwright-cli,"CLI for common Playwright actions. Record and generate Playwright code, inspect selectors and take screenshots.",https://github.com/microsoft/playwright-cli,11132,581,11132,12,TypeScript,playwright,977,Apache-2.0,2020-06-19T18:34:03Z,2026-06-08T04:32:06Z,2026-05-07T23:01:25Z,False,False
pg_durable,microsoft/pg_durable,PostgreSQL in-database durable execution,https://github.com/microsoft/pg_durable,1511,33,1511,52,Rust,"ai-pipelines,ai-workflows,durable-execution,durable-functions,durable-workflows,postgresql",2017,NOASSERTION,2026-02-13T18:21:46Z,2026-06-08T04:31:19Z,2026-06-08T03:27:47Z,False,False
ProphetNet,microsoft/ProphetNet,"A research project for natural language generation, containing the official implementations by MSRA NLC team.",https://github.com/microsoft/ProphetNet,747,117,747,55,Python,,76191,MIT,2020-02-17T20:13:11Z,2026-06-08T04:31:12Z,2024-07-25T11:27:09Z,False,False
SkillLens,microsoft/SkillLens,SkillLens: a framework for studying model-generated agent skills across the full raw experience generation → skill extraction → skill consumption lifecycle. ,https://github.com/microsoft/SkillLens,86,9,86,0,Python,,4305,MIT,2026-05-08T07:40:38Z,2026-06-08T04:29:48Z,2026-05-25T19:49:05Z,False,False
